average_consumption,daily_consumption_variance,refill_frequency,current_quantity,threshold,product_type,scaled_threshold
193.52465823520762,10.071513513092363,10.066053460869462,672.702994208898,118.3452737094604,Egg,28.403150906243606
475.8500101408589,27.553146421539548,9.668427574943994,796.6813971913723,299.13994449950826,Egg,89.10871395031347
368.6770314875885,43.77434595794401,27.46887367406799,250.46789879249897,277.0904262554855,Egg,3.3309654729849747
303.3426572565479,36.879019434068496,9.737747395936665,624.8740996069989,218.5073655902864,Butter,38.54724740911132
86.44913381679389,40.52149624521104,10.342642605473037,571.7459831437487,117.25254879364851,Egg,57.595796290469174
86.4373149647393,33.28038496882515,23.50375308528502,832.8303767882711,105.14291477491822,Milk,57.39465711636486
38.460969962417735,34.92155166137477,15.14297574616458,906.0870604812606,86.29508283077917,Egg,19.438282585846842
434.4263114297182,42.61058692670065,23.971185037789894,12.156771477386808,300.6034411964301,Milk,49.358107012813555
304.54635575417234,13.23373243410011,4.764886254238402,674.0199190587927,182.3345870819533,Egg,62.44059635174285
356.95556312006227,24.981823218513885,16.164422229181376,51.83579911972902,219.5750366403756,Egg,38.713436248369774
20.086402204943198,11.83926264916051,3.907567204948631,548.8586650773559,24.415180485313947,Milk,60.62139509979212
485.2558275593772,49.3957323918357,4.691636493294572,287.6327290436782,339.2575898222382,Egg,54.19021824115248
417.8968939922066,47.25890764464405,27.473811240299096,306.7765995221412,307.409536128151,Egg,7.271542393135017
114.04616423235531,2.931913757056789,6.759625020175069,352.9585034523566,56.75561648942089,Egg,86.90523515625577
99.09423393147931,35.57318345326873,17.37535842143086,621.2924490496101,123.52357349740214,Butter,27.677028093689437
99.86820982818257,46.33716755336763,14.099581270219076,334.04996566876923,137.80500277963253,Milk,38.63656172212501
159.0786990501735,9.848191911239343,12.378269808988753,732.6990505902804,106.95745552383576,Egg,99.99999999999999
267.13065149979656,28.829316297078844,27.295500333556358,404.5273855738697,199.1377572293883,Milk,75.73821840158229
221.65305913463672,45.85892658181405,3.5892317129382167,68.35320030995862,198.490126816573,Milk,18.39134078317624
152.70227869704053,2.663352950704143,20.922321526740905,783.7598424841073,76.27772032919336,Milk,52.809767551317094
309.8079184139659,35.17359309509516,29.01164972376586,285.758324592706,223.4772248384979,Egg,86.0139095674825
78.3519917195005,15.570101361254988,18.124540953469733,432.7668795992626,65.1268302858632,Egg,59.199212842359856
153.15087778225688,46.29541357344999,28.29420647489348,685.4438832219015,172.6139429038625,Milk,83.91307711569486
189.51730321390895,48.58185401310302,4.410962740722642,332.456157148712,198.44365332412622,Butter,61.15654431534855
233.47429226634762,47.269057966558265,14.307419615002358,56.58565614671562,214.7371046845147,Milk,66.88141468133685
394.73622108257666,24.236496616215724,10.024260355975382,373.9210470128136,252.3281127187068,Butter,33.952123036707654
107.84015325759627,43.240089898476356,22.732166054479706,944.4485826943035,138.34009966990033,Milk,46.41477805828746
261.9748748226697,42.38292052821845,29.49502144342566,641.7343972985582,208.87961788194895,Milk,36.58891368532198
